seconde,x,y,periode
311.0,93.5,38.1,MT1
312.0,92.8,33.9,MT1
1512.0,87.4,51.5,MT1
1750.0,91.4,20.0,MT1
1751.0,91.9,21.7,MT1
1751.0,92.0,21.5,MT1
1757.0,93.5,22.4,MT1
1771.0,92.9,23.0,MT1
2853.0,91.1,20.8,MT1
2856.0,96.4,13.9,MT1
3185.0,83.2,15.1,MT1
3325.0,82.3,13.9,MT2
3326.0,85.2,15.1,MT2
3327.0,86.3,17.7,MT2
3330.0,86.1,26.1,MT2
3339.0,87.2,41.2,MT2
3355.0,78.1,38.5,MT2
4106.0,98.9,37.5,MT2
4244.0,71.9,23.1,MT2
4245.0,75.4,26.8,MT2
4246.0,77.8,30.1,MT2
4247.0,79.0,35.1,MT2
4253.0,77.0,42.3,MT2
4254.0,74.4,39.4,MT2
4255.0,76.8,47.9,MT2
4335.0,76.3,73.3,MT2
4336.0,77.7,72.7,MT2
4342.0,84.9,66.6,MT2
4344.0,85.9,59.8,MT2
4575.0,74.1,50.4,MT2
4624.0,86.8,54.4,MT2
4625.0,89.3,51.8,MT2
4626.0,90.4,49.0,MT2
4634.0,89.1,52.4,MT2
4635.0,87.9,45.5,MT2
4636.0,89.7,50.1,MT2
4637.0,90.2,49.3,MT2
4900.0,74.1,13.0,MT2
4903.0,78.7,19.9,MT2
4904.0,79.3,21.0,MT2
4905.0,78.9,23.1,MT2
4910.0,79.9,32.4,MT2
4911.0,80.8,33.2,MT2
4912.0,81.2,35.1,MT2
4913.0,81.7,37.3,MT2
4914.0,82.1,38.3,MT2
4915.0,83.2,35.5,MT2
4940.0,82.8,43.5,MT2
4945.0,82.3,41.4,MT2
4947.0,82.1,34.4,MT2
4949.0,82.6,34.7,MT2
4950.0,83.5,36.3,MT2
4951.0,83.5,36.3,MT2
5079.0,38.9,59.9,MT2
5098.0,79.0,94.9,MT2
5111.0,66.5,87.6,MT2
5111.0,74.3,91.3,MT2
5180.0,80.9,18.0,MT2
5473.0,75.6,76.4,MT2
5475.0,78.9,70.0,MT2
5476.0,74.5,78.4,MT2
5587.0,88.8,24.4,MT2
5620.0,78.3,15.9,MT2
5621.0,93.4,26.8,MT2
5622.0,83.6,14.6,MT2
5624.0,85.6,20.9,MT2
5632.0,82.3,12.3,MT2
5633.0,83.6,15.7,MT2
5635.0,79.8,11.0,MT2
5705.0,85.8,86.8,MT2
5706.0,91.5,84.1,MT2
5710.0,91.5,74.6,MT2
5726.0,88.2,26.2,MT2
5790.0,84.3,58.0,MT2
5891.0,91.5,5.3,MT2
5917.0,68.4,9.5,MT2
5927.0,53.5,20.0,MT2
5960.0,85.9,94.7,MT2
5976.0,82.2,69.7,MT2
6101.0,78.3,43.4,MT2
6156.0,82.1,73.9,MT2
6202.0,86.9,65.8,MT2
6235.0,86.9,69.7,MT2
6238.0,89.8,67.9,MT2
6247.0,90.8,66.1,MT2
